separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"Meanwhile, a",0.21256527012785115,0.23199918845156428,0.04178566799246582,0.22527583124871692
you'll probably be able,0.18124813422860875,0.20327487077864737,0.022185335734717534,0.20266087490181478
You told me,0.18364468926693245,0.19532429060453912,0.022410319385550995,0.20055379555456013
[G,0.18736432570079964,0.20089491690402714,0.025071208077116994,0.20029562231717746
Amy: we,0.18642896488845098,0.20363060177817752,0.024340020270450916,0.1997839041113425
