separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
11:,0.19666777972948538,0.20767385989846668,0.02938903010187178,0.21789851597056326
[,0.19479984007671225,0.20763650435952508,0.027056235380014403,0.21578043689481835
Chapter 3,0.19431969090021417,0.20907595236783721,0.029144729233981856,0.21500058397442554
The third person,0.19592807904521567,0.21085742115559256,0.03241379970031498,0.21467849039959633
As it turns,0.19427084218348595,0.21176118183473405,0.027245958329065182,0.21246744152718622
