separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
Save affected а cemetery oblique,0.18552905401554934,0.19807806387588398,0.025306644802251387,0.21462211879257248
Paradoxantedurbpw Brigham,0.1885927398661565,0.1994528736025299,0.028034600221511018,0.21440521669420592
Occur accusation Exception totalityupt,0.18963712773205949,0.20182637948623602,0.024652571946089136,0.2143481592399779
placedterraneanting Overcoming,0.1918877819564434,0.20609004896683825,0.026878993140923145,0.2133597441207048
"tqdm"""""")",0.20346876897864802,0.21823495219734526,0.037340491607455284,0.21167026753149878
