separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
runway				 Cincinnati,0.20895067484479657,0.22287017559374322,0.03455643128445003,0.22206250923546159
Fatigue branching,0.1981802471526081,0.20881197636141124,0.02981823193001062,0.22114281884905557
prisonsaust thumb,0.19866434882093809,0.20795397779996855,0.030105766786993293,0.2199461470953432
Order Illust Growognitive Colin,0.21428340099919585,0.2250050969065917,0.03607529233522362,0.2195409563016787
Exchange mitigatebul,0.2051556978405087,0.21631521559324562,0.031468949151807236,0.2188913981893341
