separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
And she got,0.19438268745749224,0.21297729796324766,0.03134859707886256,0.2101180262356957
{A group,0.19161393030083093,0.20200262132747743,0.026283256139109416,0.2026699098354026
How was your visit to,0.17922226901759247,0.19818875886199955,0.021922913133665838,0.20170764704192232
[edit] D,0.18771485393613185,0.19949093101901358,0.026319639160185745,0.19973566568941906
A:,0.17719396477373706,0.18614389191430794,0.01835719472104909,0.19832601755928286
