separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
-------------------------------------------------------------------------------Dai de,0.22384114145705042,0.24363532456964318,0.05489808209089424,0.22196494076184692
"-

In response",0.19527964255576988,0.20776730824090148,0.038112652102926775,0.2062286611075683
I cannot be on the,0.1863104467160696,0.19786750348033033,0.03340448990421499,0.18036868506770182
I do,0.16990219345824922,0.17917819854207065,0.01959424824250971,0.17943852983782177
ﾉ{,0.1483335831076773,0.1541908845318695,0.026054501391777427,0.17832950529248492
