separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"Q:

Is",0.255017151605153,0.28674737549895485,0.06747782076622051,0.25497869163548503
"Q:

What",0.24001536642673704,0.2678717926396855,0.060775773246020647,0.23843894511502736
"Q:

Using",0.24554202808089914,0.27283185239158947,0.06278982843339595,0.2368216047243943
"Q:

How",0.2361882549360181,0.26325339459758096,0.06003767284184983,0.2342972316605564
"Besuk, the",0.22649786732576363,0.24981651629722174,0.05501369582624572,0.23185399597431877
