separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
ION139537 summoning,0.20201473367215447,0.21903991025331462,0.04136526295781837,0.214526055688266
tracksLisaSpecifically spooncellent,0.20534917605078562,0.22367712160916497,0.042880874558673024,0.21242647045281213
Sci,0.18616614344667606,0.19768363235875372,0.03052455295788593,0.2114133794630287
Bol collectively gearswered,0.20352164012970167,0.21895160269245176,0.0449860779756874,0.2112856425622917
initGAME,0.1949321709550782,0.2132793632199136,0.03964211409793692,0.21090915933470308
