separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
sang targeted Ship,0.19932354553525455,0.2112009686259272,0.038364906055255076,0.21830484671491274
"amel""))",0.20240950964324844,0.21780326849266782,0.04347807395743725,0.21415061703273258
assemb=-initial proposals,0.20229743411493128,0.21290604294255885,0.04062110444162356,0.21407170259273858
uses captain,0.19006838344927526,0.20146169320680213,0.030507770363965465,0.21155401076622357
witnessedmie034 Medicare,0.20454996093314257,0.21710768931561783,0.04057957692069125,0.20953118916484895
