separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"olving""},""SecretFortunately bundle",0.20086565802846432,0.22090700035420943,0.04760507883258252,0.207317792543812
welcomes bi eatparticip historically,0.17051328423964332,0.18210375429422493,0.02651536648401785,0.19606036917602293
"adding hotel ""{",0.17867132156236554,0.1936805204231022,0.03350918232678809,0.18343613382108276
reacted blew agitation,0.16386182037398977,0.1711630223189645,0.021542553279631574,0.18319886107932087
^ beat dues embod,0.16377278683683988,0.17382436788782857,0.021417315271864433,0.18129543519452043
