separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
comment entertained fucking UCLA,0.21166462699548055,0.2309963988945928,0.04274980150118673,0.229322820961269
iar))/((- Her,0.21071583233770555,0.2324001449834156,0.042728549882384344,0.22849383589467454
")}, mism",0.21330415007769873,0.2343720349044793,0.04174385713093694,0.22670503648128443
erculosis provingMET 232,0.20863770310396312,0.22899161553793332,0.03913771124122481,0.21964312284472387
About bags Murray phosphate,0.19860853656329708,0.21408662981072105,0.033515124222792514,0.21907143682854605
