separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
Click to expand,0.23159085622862427,0.2595094545018101,0.05560430954237898,0.2330443970130778
Charles: [s,0.23414056127834673,0.26258380102405077,0.05983526241127135,0.22980680436352202
"* ""Let",0.23813032778568152,0.2665337717590047,0.06178774020182799,0.22897207297670596
Charles: what you,0.23482962819016343,0.25716633358188956,0.05325693892495756,0.225222591620784
[Sings:,0.21918625436496972,0.2431016963967519,0.04592842096164717,0.22450293831177232
