separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
":)

After Owen",0.24211235404896367,0.27171064800311934,0.06201081834806917,0.24337866641821063
It should've been a,0.25214025934828077,0.2856027411549669,0.06854211768003687,0.2359486279967613
And from Owen's,0.240016026541338,0.27183217807257964,0.06293416299548375,0.23003663802612437
Category: Music,0.23348884471970835,0.2597615007015231,0.056448748171989804,0.22722987584197898
After a,0.23557587494096244,0.26765197583344363,0.05781346658096321,0.22679654668667087
