separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
eager charitable withdrawalLeposed,0.23664508137878967,0.2655855737894498,0.05958280812892702,0.2435325914251112
ceremony markup Israelisaband,0.23500820525018126,0.26368500182786175,0.05833496329056988,0.24277705200810662
conductorWhat ADC fle,0.24969957422927144,0.2817960684468778,0.06706860831977257,0.24269322537881044
energy invaluable GRANT butter cartoon,0.24345701672328215,0.2746590544539675,0.06352964531978322,0.24195588020689582
anniversary selector hazards Lib,0.23114621847471611,0.25894628524356567,0.05924546027529644,0.24195200448362625
