separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
AŞCX Recommendfds,0.25369487378286104,0.28272813287741494,0.06922461705824454,0.2607559581997485
使命 tone,0.26005850381003065,0.2896586939174936,0.07031891798723426,0.25592521702071624
柚一口 tags,0.25835167378459045,0.28873126644937086,0.07108058282291937,0.25560226288809035
"gating.'
إدارutura",0.2611879863512145,0.29306395719096245,0.07190047555178886,0.2546507035171446
嫁obsług terrestrial货物InThe,0.258938098321109,0.29044277711289884,0.0712448512716973,0.25452791645299566
