separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"']]
离子",0.25924568708386664,0.287954579130229,0.06899834097889776,0.2582611693458317
经常会ADOWقام Critics,0.25823044799875905,0.29099286700973265,0.07199469151118666,0.2555347998127045
是多少سلح,0.2644319331270749,0.2972167597392364,0.0730653268645699,0.2516536606196816
"_CACHE<IActionResult("","")
不忍	field",0.2515375001070774,0.2833563125338435,0.0685784270032464,0.24312699187791478
"WINDOWSבר floatValue.;
ActiveSheet",0.24481292422235193,0.27227540065436795,0.06595193607458655,0.24032391982386503
