separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"incidence (""489BIL",0.205852540687753,0.22327002400461604,0.044333432187367905,0.21592649780606965
amination Ped NDP Trading,0.17630851609713785,0.18501212195439626,0.02629478811473116,0.214825562419941
casFORMATION waterfall,0.1735655701697905,0.18077897661719222,0.02439681475363866,0.19508476111083023
08 skins,0.1753532913512853,0.18350582881320485,0.027023304494030974,0.19452988130467191
ample Sas,0.16984835176575744,0.17611743024499116,0.02056680465127615,0.19385777305295465
