separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
NAME flu Marshall publicized,0.19996735955193184,0.21652076692100686,0.039724361005023655,0.21513237418260303
")"" bourgeoisie",0.17839424035051496,0.18904761681328372,0.025395127331080698,0.19679866775931526
ranch Simpson forecastsanted,0.17648867566952955,0.18395125567869253,0.022974058076492776,0.19582604462595463
MCphiairtual Charles,0.1609745066620779,0.1677425296323266,0.015551394823755102,0.190076519267935
publicity carbsRFines,0.1689629163395443,0.17622705523628793,0.017699694382470415,0.18984131392747988
