separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"- ""Guns and",0.20849320842281444,0.2260001102457419,0.04344629575530053,0.2038730928378945
".

When you",0.18481503994811158,0.19504851116526242,0.027448368854939318,0.19399241805243106
A study in the,0.16634083910606817,0.17677216346753266,0.024269608242200064,0.1919910799582974
A new game by the,0.18786600162850375,0.20255268114694544,0.03523769370598794,0.18724361593823713
"Photo

You",0.1803577819323022,0.1897722503078703,0.02551201717612139,0.18488814221524064
