separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
[[You and,0.19596874436258802,0.21809911061779458,0.038903000175037464,0.21051603499453955
So now you can,0.19708628923225488,0.22045871764301747,0.03476747240782131,0.21049278029488735
"(to her right,",0.16164411112000648,0.1719909979923325,0.02583387174193516,0.19588600315800067
I'm going to,0.18123588888236242,0.18987066132366012,0.021095454508225395,0.1958590264748877
"Well, in the",0.16818235128832834,0.18107505163256654,0.01972722291021652,0.18836431722402408
