separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
You can now go to,0.1791158404449514,0.18814772796906076,0.026238865950329156,0.19019404997498476
Episode 12: The,0.15991117693772275,0.16748796002640673,0.022637631673562614,0.1872772168984292
The main topic of,0.17992538602595248,0.19001143979025112,0.02533966901457721,0.18536797055202933
We got the plan though,0.17102797819372034,0.1783690375963621,0.022486350241021375,0.18433909495447803
"And, so we",0.1750601437972595,0.18846286794568873,0.026604569441429297,0.18237406181578883
