separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"""The only reason we",0.2320502303500418,0.25580368623734023,0.05658062032250651,0.22532344270476862
"In April 2014,",0.22693392238506305,0.24490136861889683,0.04882410750564185,0.21729738647717775
The latest episode of,0.21401568328751047,0.23408424934208472,0.05068839103312204,0.21151821128326256
This week a small group,0.1979370380970165,0.2119022898475085,0.03655800130607276,0.21100929263559925
We are,0.17719449600549997,0.19277735176310165,0.026477762738619133,0.2068473276194099
