separator,rougeL_f1,rouge1_f1,rouge2_f1,train_score
"In early November, the",0.23213653064043382,0.2565997763950249,0.05368987320558868,0.22940253778269304
The official website of the,0.22719353801177472,0.251943928744534,0.05017280690656326,0.22726488518900048
"On Thursday, Sen",0.20762734134396885,0.22018728157275047,0.03949826222964151,0.2262827379717107
If you read from the,0.1947859169329698,0.2080500495659813,0.03669436462390696,0.20764183153287788
In October 1994,0.1882261711451951,0.1991839833678266,0.028673006061165525,0.20711283418881424
